ring,0.9441,0.0871,0.0244,0.0757,0.0032,0.0223,0.0005
hairclip,0.3257,0.0022,0.0298,0.0005,0.0000,0.0000,-0.0000
lipstick,0.2853,0.0476,0.0042,0.0034,0.0000,0.0007,-0.0000
lipstick,0.9407,0.6113,0.3209,0.0292,-0.0022,-0.0197,0.0018
lipstick,0.8912,0.7669,0.0147,0.0129,0.0002,0.0111,0.0000
blackcircle,0.1876,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000
blackcircle,0.1711,0.0039,0.0000,0.0000,0.0000,0.0000,-0.0000
bowl,0.2829,0.0062,0.0002,0.0015,0.0000,0.0001,0.0000
hairtie,0.9610,0.1764,0.0024,0.0001,0.0000,0.0000,-0.0000
hairclip,0.2572,0.0017,0.0116,0.0001,0.0000,0.0000,0.0000
ring,0.9441,0.0871,0.0244,0.0757,0.0032,0.0223,0.0005
hairclip,0.3257,0.0022,0.0298,0.0005,0.0000,0.0000,-0.0000
lipstick,0.2853,0.0476,0.0042,0.0034,0.0000,0.0007,-0.0000
lipstick,0.9407,0.6113,0.3209,0.0292,-0.0022,-0.0197,0.0018
lipstick,0.8912,0.7669,0.0147,0.0129,0.0002,0.0111,0.0000
blackcircle,0.1876,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000
blackcircle,0.1711,0.0039,0.0000,0.0000,0.0000,0.0000,-0.0000
bowl,0.2829,0.0062,0.0002,0.0015,0.0000,0.0001,0.0000
nailcipper,0.5461,0.2669,0.0010,0.0007,0.0000,0.0003,0.0000
hairtie,0.9747,0.0703,0.0024,0.0003,0.0000,0.0001,-0.0000
nailclipper,0.6098,0.3235,0.0056,0.0007,-0.0000,-0.0003,-0.0000
bowl,0.2920,0.0087,0.0002,0.0009,0.0000,0.0001,0.0000
bowl,0.2646,0.0083,0.0001,0.0006,0.0000,0.0000,0.0000
bowl,0.2646,0.0083,0.0001,0.0006,0.0000,0.0000,0.0000
ring,0.7243,0.0720,0.0142,0.0557,0.0008,0.0142,-0.0013
ring,0.8723,0.1534,0.0419,0.1705,0.0118,0.0662,-0.0082
blackcircle,0.1796,0.0034,0.0000,0.0000,0.0000,0.0000,-0.0000
ring,0.7243,0.0720,0.0142,0.0557,0.0008,0.0142,-0.0013
ring,0.8723,0.1534,0.0419,0.1705,0.0118,0.0662,-0.0082
blackcircle,0.1796,0.0034,0.0000,0.0000,0.0000,0.0000,-0.0000
hairclip,0.2922,0.0271,0.0129,0.0023,0.0000,0.0002,-0.0000
hairtie,0.9610,0.1764,0.0024,0.0001,0.0000,0.0000,-0.0000
nailcipper,0.5461,0.2669,0.0010,0.0007,0.0000,0.0003,0.0000
hairtie,0.9747,0.0703,0.0024,0.0003,0.0000,0.0001,-0.0000
nailclipper,0.6098,0.3235,0.0056,0.0007,-0.0000,-0.0003,-0.0000
bowl,0.2920,0.0087,0.0002,0.0009,0.0000,0.0001,0.0000
hairclip,0.2922,0.0271,0.0129,0.0023,0.0000,0.0002,-0.0000
hairclip,0.2572,0.0017,0.0116,0.0001,0.0000,0.0000,0.0000